n;t
3;2.51e-06
2;1.18e-06
3;1.23e-06
3;1.17e-06
3;8.8e-07
3;1.03e-06
3;1.09e-06
3;9.5e-07
4;1.21e-06
4;1.17e-06
4;1.2059e-05
4;1.07e-06
4;1.23e-06
4;9.9e-07
4;1.59e-06
4;1.069e-06
4;1.18e-06
5;1.15e-06
5;1.31e-06
5;1.13e-06
5;1.08e-06
5;1.23e-06
5;1.4e-06
5;1.17e-06
5;1.1e-06
5;1.39e-06
5;1.41e-06
5;1.23e-06
5;1.33e-06
5;1.18e-06
6;1.76e-06
6;1.22e-06
6;1.28e-06
5;1.09e-06
5;1.45e-06
5;1.07e-06
6;1.25e-06
6;1.3e-06
6;1.5e-06
5;1.18e-06
6;1.45e-06
6;1.23e-06
6;1.48e-06
5;1.3e-06
6;1.33e-06
6;1.15e-06
6;1.61e-06
6;1.16e-06
6;1.18e-06
6;1.32e-06
6;1.42e-06
6;1.21e-06
6;1.29e-06
6;1.479e-06
6;1.88e-06
6;1.26e-06
6;1.55e-06
6;1.43e-06
6;1.56e-06
6;1.27e-06
7;1.62e-06
6;1.23e-06
7;1.67e-06
6;1.63e-06
6;1.31e-06
6;1.47e-06
6;1.88e-06
6;1.34e-06
7;1.56e-06
7;2.73e-06
6;1.4099e-05
7;1.78e-06
7;1.54e-06
6;1.62e-06
6;1.6e-06
6;1.48e-06
6;1.39e-06
7;1.47e-06
7;1.82e-06
7;1.61e-06
7;1.53e-06
6;1.52e-06
7;2.02e-06
6;1.26e-06
6;1.6e-06
7;1.52e-06
6;1.83e-06
7;1.59e-06
6;1.45e-06
7;1.49e-06
6;2.08e-06
7;1.76e-06
7;1.82e-06
7;1.75e-06
7;2.34e-06
6;1.93e-06
7;1.88e-06
7;1.97e-06
7;2.34e-06
7;2.21e-06
7;1.92e-06
7;2.01e-06
7;2.46e-06
7;1.76e-06
7;1.94e-06
7;1.93e-06
7;2.72e-06
7;1.45e-06
6;1.4e-06
7;1.51e-06
7;1.249e-05
7;1.58e-06
7;1.32e-06
7;1.5e-06
7;1.89e-06
7;1.38e-06
7;1.43e-06
7;1.39e-06
7;2.38e-06
7;1.49e-06
7;1.58e-06
7;1.48e-06
7;2.13e-06
7;1.67e-06
7;1.46e-06
7;1.35e-06
7;1.59e-06
7;1.46e-06
7;1.46e-06
7;1.37e-06
7;1.96e-06
7;1.53e-06
7;1.48e-06
8;1.7e-06
7;1.3009e-05
7;1.43e-06
7;1.47e-06
8;1.62e-06
7;2.8e-06
7;1.86e-06
7;1.79e-06
7;1.38e-06
8;2.44e-06
8;1.57e-06
7;1.92e-06
7;1.63e-06
7;3.57e-06
8;2.2e-06
7;2.02e-06
7;2.3e-06
7;3.33e-06
7;1.82e-06
7;1.56e-06
7;1.53e-06
7;3.78e-06
7;1.49e-06
7;1.63e-06
7;1.59e-06
7;2.63e-06
7;1.41e-06
8;1.57e-06
7;1.37e-06
8;1.42e-05
8;1.53e-06
8;1.77e-06
7;1.35e-06
8;2.809e-06
8;1.22e-06
7;1.36e-06
8;1.78e-06
7;2.66e-06
7;1.939e-06
8;1.47e-06
8;1.15e-06
7;2.2e-06
7;1.25e-06
7;1.17e-06
8;1.09e-06
7;1.8e-06
7;1.11e-06
8;1.23e-06
8;1.17e-06
8;1.89e-05
8;1.02e-06
8;1.1e-06
7;9.7e-07
8;1.22e-06
8;1.73e-06
8;7.5e-07
8;5.2e-07
7;7.29e-07
8;4.9e-07
7;5.3e-07
7;5.3e-07
8;6.7e-07
7;4.3e-07
8;5.2e-07
8;4.8e-07
7;7.4e-07
8;5.9e-07
8;5.4e-07
8;5e-07
8;7.3e-06
7;5.3e-07
7;6.2e-07
8;5.7e-07
8;6.8e-07
8;4.6e-07
8;5.1e-07
8;4.7e-07
7;6.5e-07
8;5.1e-07
8;4.5e-07
8;6.4e-07
8;6.7e-07
7;5.1e-07
8;5.7e-07
7;5.3e-07
8;6.8e-07
8;4.9e-07
8;5.3e-07
8;4.9e-07
8;5.72e-06
7;5.6e-07
8;5.9e-07
8;5.8e-07
8;5.9e-07
8;4.6e-07
8;4.7e-07
8;4.8e-07
8;4.9e-07
8;4.5e-07
8;5.7e-07
7;4.5e-07
8;7.8e-07
8;5.4e-07
8;4.7e-07
8;5.1e-07
8;6.18e-06
8;6.2e-07
8;5.7e-07
8;5.6e-07
8;1.98e-06
8;6.4e-07
8;1.04e-06
8;5.4e-07
8;7.8e-07
8;4e-07
8;4.6e-07
8;5.5e-07
8;8.5e-07
8;5.1e-07
8;6.6e-07
8;5.7e-07
8;5.5e-07
8;5.4e-07
8;5.7e-07
8;5.6e-07
8;6.2e-07
8;4.6e-07
8;4.6e-07
9;4.99e-07
8;8.3e-07
8;7.9e-07
8;8e-07
8;8.1e-07
9;5.7e-07
8;6.9e-07
8;5.4e-07
9;4.3e-07
8;4.7e-07
9;1.05e-06
8;1.11e-06
8;7.3e-07
8;7.7e-07
8;9e-07
8;8.1e-07
8;8.6e-07
9;7.7e-07
9;6.5e-07
8;7.7e-07
9;1.15e-06
8;8.2e-07
9;6.7e-07
8;5.4e-07
8;4.9e-07
8;4.7e-07
8;5.9e-07
9;5e-07
8;4.7e-07
8;4.9e-07
9;5.1e-07
8;5.2e-07
8;4.4e-07
8;4.7e-07
9;5e-07
9;5e-07
8;5.1e-07
9;5.1e-07
9;5.2e-07
9;5.2e-07
8;4.6e-07
8;4.8e-07
9;5.1e-07
8;4.4e-07
8;4.5e-07
8;5.9e-07
9;5.5e-07
8;5.4e-07
9;5.2e-07
8;5.3e-07
8;5.3e-07
8;9.6e-07
8;5.1e-07
9;1.22e-06
8;6.6e-07
8;4.9e-07
8;4.8e-07
9;1.03e-06
8;6.4e-07
8;4.9e-07
8;5e-07
9;7.8e-07
8;6.7e-07
8;6.3e-07
8;6.9e-07
9;5.1e-07
8;5.3e-07
8;4.8e-07
8;5.1e-07
8;4.9e-07
8;5.1e-07
9;5e-07
8;5.2e-07
9;5.4e-07
8;4.9e-07
8;4.8e-07
9;4.8e-07
8;5.1e-07
8;5e-07
9;4.5e-07
9;5.1e-07
8;4.5e-07
8;4.2e-07
8;4.6e-07
8;4.6e-07
9;5.2e-07
9;4.7e-07
9;8.1e-07
8;5.8e-07
8;7.2e-07
9;7.4e-07
8;7.3e-07
8;8.6e-07
9;7.9e-07
8;6.7e-07
9;7.4e-07
9;7.6e-07
9;6.8e-07
9;6.9e-07
9;6.9e-07
8;7.2e-07
9;6.5e-07
9;7e-07
9;6.5e-07
9;7.9e-07
8;8.1e-07
8;6.6e-07
9;6.5e-07
9;6.7e-07
9;7.3e-07
9;7.8e-07
8;6.8e-07
9;7.9e-07
9;7.5e-07
9;6.9e-07
9;7.49e-07
9;8.4e-07
9;6.8e-07
8;6e-07
9;5.8e-07
9;6.5e-07
9;6.6e-07
9;6.2e-07
9;6e-07
8;6.5e-07
9;6.3e-07
9;6.3e-07
8;5.8e-07
9;6.2e-07
9;6.6e-07
8;6.5e-07
9;6e-07
8;8e-07
9;1.09e-06
8;6.9e-07
8;6.6e-07
9;7.5e-07
9;9.4e-07
9;6.7e-07
9;7.3e-07
9;6.7e-07
9;7.8e-07
9;7e-07
8;6.5e-07
9;6.4e-07
9;6.9e-07
9;6.8e-07
9;6.1e-07
9;7.3e-07
9;5.8e-07
9;7.2e-07
9;7e-07
9;7.1e-07
9;7e-07
9;6.6e-07
9;8.5e-07
9;6.9e-07
9;7.6e-07
9;6.8e-07
9;6.4e-07
2;7.4e-07
9;6.9e-07
9;6.6e-07
9;6.7e-07
9;6.7e-07
8;7.9e-07
9;6.9e-07
9;7.4e-07
8;6.9e-07
8;6.3e-07
9;6.6e-07
9;7.2e-07
9;7e-07
9;6.6e-07
9;6.8e-07
9;7e-07
9;7.2e-07
9;6.7e-07
9;6.9e-07
9;7.2e-07
9;7.4e-07
9;5.9e-07
8;6.3e-07
9;7.1e-07
8;7.1e-07
9;6.3e-07
9;6.2e-07
9;6.7e-07
9;6.9e-07
9;6.7e-07
8;6.79e-07
9;6.3e-07
9;7.1e-07
8;6.5e-07
9;6.3e-07
9;6.9e-07
8;7e-07
9;6.6e-07
9;6.8e-07
9;6.6e-07
9;8.4e-07
9;6.5e-07
9;6.4e-07
9;6.2e-07
9;6.2e-07
9;7.1e-07
8;5.6e-07
9;7.3e-07
9;6.5e-07
8;6.8e-07
9;6.7e-07
9;6.7e-07
9;6.6e-07
9;6.4e-07
9;7.2e-07
9;6.9e-07
9;6.5e-07
8;6.5e-07
8;5.8e-07
9;6.9e-07
9;6.8e-07
8;6.6e-07
9;6.6e-07
9;7e-07
9;6.9e-07
9;6.9e-07
9;6.4e-07
9;6.6e-07
9;6.2e-07
9;7.2e-07
9;6.6e-07
9;6.5e-07
9;6.3e-07
9;6.3e-07
9;6.8e-07
9;7.2e-07
9;6.5e-07
9;5.9e-07
9;6.3e-07
9;6.1e-07
9;6e-07
9;6.1e-07
9;6.8e-07
9;7e-07
9;7.1e-07
9;6.8e-07
9;6.8e-07
9;7.2e-07
9;6.6e-07
9;9.8e-07
9;7.5e-07
9;7.6e-07
9;6.9e-07
10;6.7e-07
9;6.9e-07
9;7.5e-07
9;2.05e-06
9;7.5e-07
9;6.5e-07
9;6.9e-07
9;7.3e-07
9;6.6e-07
9;6.9e-07
9;6.9e-07
9;6.5e-07
9;7.7e-07
9;7.2e-07
9;7.5e-07
9;7.3e-07
9;7.2e-07
9;6.9e-07
9;6.7e-07
9;7.2e-07
9;8.5e-07
9;7.6e-07
10;7e-07
9;6.9e-07
9;7.2e-07
9;7.2e-07
9;7.7e-07
9;7.3e-07
9;6.5e-07
9;9.4e-07
9;8.1e-07
9;6.9e-07
9;7.7e-07
9;7.1e-07
9;7e-07
9;7e-07
9;6.8e-07
9;7.3e-07
9;7.3e-07
9;7.7e-07
9;7.1e-07
9;7e-07
9;7.2e-07
9;6.8e-07
9;6.5e-07
9;7.5e-07
10;7.2e-07
9;6.9e-07
9;6.9e-07
9;6.5e-07
9;7.3e-07
10;6.9e-07
9;7.8e-07
10;7.6e-07
9;7.1e-07
9;9.9e-07
9;1.32e-06
9;8.1e-07
9;1.45e-06
10;1.08e-06
9;6.8e-07
9;7.2e-07
9;7e-07
10;7.2e-07
9;6.6e-07
9;8.8e-07
9;7.5e-07
10;1.36e-06
9;9.7e-07
9;5.3e-07
9;6.5e-07
9;5.1e-07
10;5e-07
9;7.8e-07
9;7.1e-07
10;6.9e-07
9;6.7e-07
9;6.6e-07
9;8.4e-07
9;6e-07
9;6.5e-07
10;6.5e-07
9;5.5e-07
9;5.6e-07
9;5.9e-07
9;5.9e-07
9;5.2e-07
10;5.8e-07
9;5.6e-07
9;5.3e-07
10;7.2e-07
9;5.9e-07
9;5.9e-07
10;5.9e-07
9;6.9e-07
9;5.3e-07
9;5.7e-07
10;6e-07
9;5.6e-07
10;6e-07
10;5.7e-07
10;5.9e-07
10;6.9e-07
9;7e-07
9;5.8e-07
9;8.9e-07
9;7.8e-07
9;5.6e-07
9;4.8e-07
9;5.6e-07
9;5.1e-07
10;4.8e-07
9;4.9e-07
9;4.7e-07
9;4.6e-07
8;4.4e-07
9;4.8e-07
10;4.7e-07
10;5.1e-07
10;4.7e-07
9;5.2e-07
9;5.1e-07
9;5.2e-07
9;5.3e-07
9;5e-07
10;4.9e-07
9;5e-07
9;4.6e-07
9;5e-07
10;5.2e-07
9;4.89e-07
9;5.7e-07
10;5e-07
10;5e-07
9;4.6e-07
9;5.1e-07
10;5.6e-07
9;4.8e-07
9;5e-07
9;4.7e-07
10;5.3e-07
9;4.8e-07
9;4.5e-07
10;5e-07
9;6.2e-07
10;6.8e-07
9;7.6e-07
9;6.8e-07
10;5.2e-07
9;5.7e-07
9;5.1e-07
9;6.3e-07
10;5.2e-07
9;5e-07
9;5e-07
9;5.6e-07
9;5.1e-07
10;5.6e-07
10;5.6e-07
10;5.1e-07
9;5.5e-07
9;6.1e-07
9;5.2e-07
9;6e-07
9;8.56e-06
10;5.9e-07
9;5.4e-07
10;6.9e-07
10;5.2e-07
10;1.29e-06
10;5.9e-07
9;5.4e-07
10;5.1e-07
10;5.2e-07
9;4.9e-07
10;4.9e-07
9;4.9e-07
9;5.2e-07
9;4.8e-07
9;4.9e-07
9;4.8e-07
9;4.5e-07
10;5e-07
10;4.9e-07
9;4.8e-07
9;5.1e-07
10;5.1e-07
10;5.3e-07
9;5.1e-07
9;7.1e-07
10;6.1e-07
9;1.36e-06
9;5.3e-07
9;5.1e-07
9;4.9e-07
10;5.6e-07
9;5.29e-07
10;5.4e-07
10;4.9e-07
10;5.2e-07
9;5e-07
10;5.2e-07
9;5e-07
10;4.8e-07
10;4.7e-07
10;5.2e-07
10;5.2e-07
10;4.8e-07
10;5e-07
10;5.4e-07
9;5.3e-07
10;5.4e-07
9;5.1e-07
10;5e-07
10;4.7e-07
10;5.2e-07
9;4.7e-07
10;5.2e-07
9;4.7e-07
10;5.2e-07
10;5.2e-07
9;4.7e-07
9;4.6e-07
10;5.4e-07
10;6.9e-07
9;5.2e-07
9;7.5e-07
10;5.7e-07
10;6.2e-07
9;4.7e-07
10;5.4e-07
10;4.9e-07
10;5.3e-07
10;5.4e-07
10;5e-07
10;4.9e-07
10;5.4e-07
10;5.3e-07
10;4.8e-07
10;4.7e-07
10;5.1e-07
10;5.8e-07
10;4.7e-07
9;5e-07
9;5.2e-07
9;5e-07
9;5.1e-07
9;6e-07
9;5.9e-07
10;5.1e-07
10;5e-07
10;5.2e-07
10;5.1e-07
10;4.8e-07
10;5.4e-07
9;5.3e-07
10;5.3e-07
10;5.1e-07
10;5.4e-07
9;4.9e-07
10;5.2e-07
9;5.6e-07
10;5.1e-07
9;5e-07
10;5.2e-07
10;5.2e-07
10;5e-07
10;5.8e-07
10;5.3e-07
10;4.89e-07
10;4.4e-07
10;5.2e-07
9;5.2e-07
10;4.7e-07
9;5.1e-07
9;5.3e-07
10;4.9e-07
10;5e-07
10;5.1e-07
10;5e-07
10;5.2e-07
10;5e-07
9;5e-07
10;5.2e-07
10;4.6e-07
10;5.2e-07
10;6e-07
9;5.2e-07
10;5.3e-07
10;5.4e-07
10;5.8e-07
10;5.4e-07
10;4.9e-07
10;5.5e-07
10;4.9e-07
10;5e-07
10;5.1e-07
10;5.2e-07
10;5.1e-07
10;5.2e-07
10;5.5e-07
10;5.4e-07
10;5e-07
10;4.9e-07
10;9e-07
9;5.8e-07
10;5.6e-07
10;5.5e-07
10;5.4e-07
10;5.6e-07
10;6.9e-07
10;6.1e-07
9;1.43e-06
10;1.21e-06
10;1.8e-06
10;1.1e-06
10;6.7e-07
9;6.6e-07
10;6.7e-07
9;6.2e-07
10;8e-07
10;5.9e-07
10;7.6e-07
10;7.1e-07
10;6.4e-07
10;6.6e-07
10;6.7e-07
10;6.6e-07
10;6.9e-07
10;6.5e-07
10;7e-07
10;7e-07
9;6.6e-07
10;6.7e-07
10;6.5e-07
10;7.9e-07
10;6.5e-07
10;7.09e-07
10;6.5e-07
10;6.5e-07
10;7.7e-07
10;6.5e-07
9;7e-07
10;6.4e-07
10;6.8e-07
10;6.2e-07
10;6.69e-07
10;7.1e-07
9;6.6e-07
9;7.3e-07
10;7.7e-07
9;7.2e-07
10;1.27e-06
10;9.8e-07
10;5e-07
10;6e-07
10;7.7e-07
9;7.9e-07
9;8e-07
10;8.4e-07
10;8.1e-07
10;8.3e-07
10;8.9e-07
9;9.3e-07
10;8.5e-07
10;8.8e-07
10;8e-07
10;7e-07
10;6.4e-07
10;6.3e-07
10;7.5e-07
9;6.6e-07
9;5.3e-07
10;8.5e-07
10;6e-07
10;5.6e-07
10;4.8e-07
10;7.9e-07
10;5.4e-07
10;5.5e-07
10;5.3e-07
10;6.5e-07
10;5.2e-07
10;5.5e-07
10;5.4e-07
10;4.9e-07
10;5.6e-07
10;6e-07
10;5.5e-07
10;5.6e-07
10;5.2e-07
10;5.3e-07
10;5.7e-07
9;5.6e-07
10;5.2e-07
10;5.3e-07
10;5.3e-07
10;1.08e-06
10;8.8e-07
10;8.6e-07
10;9.4e-07
10;8.9e-07
10;8.7e-07
10;9.5e-07
10;9.1e-07
10;8.8e-07
10;9e-07
10;9.2e-07
10;9.2e-07
10;9.1e-07
10;9.4e-07
10;8.1e-07
10;8.6e-07
10;8.5e-07
10;8.4e-07
10;8.5e-07
10;9.5e-07
10;8.7e-07
10;8.9e-07
10;8.6e-07
10;8.3e-07
10;8.9e-07
10;8.2e-07
10;8.4e-07
10;8.9e-07
10;8.8e-07
10;9.3e-07
9;1.2e-06
10;6.4e-07
10;5.4e-07
10;5.6e-07
10;5.4e-07
10;5.4e-07
9;5.4e-07
10;5.4e-07
10;5.7e-07
10;5.2e-07
10;5.5e-07
9;5.5e-07
9;5.5e-07
10;5.7e-07
10;5.7e-07
10;6e-07
10;5.4e-07
10;5.8e-07
10;6.2e-07
10;5.5e-07
10;5.7e-07
10;5e-07
10;5.6e-07
10;5.6e-07
10;6.9e-07
10;5.4e-07
9;5.2e-07
9;5.6e-07
10;5.6e-07
10;5.1e-07
10;5.9e-07
10;5.6e-07
10;5.5e-07
10;5.2e-07
10;5.5e-07
10;5.4e-07
10;5.2e-07
10;6.7e-07
10;8e-07
10;4.8e-07
10;4.6e-07
10;5e-07
10;4.6e-07
10;1.62e-06
10;6.3e-07
10;5.6e-07
10;5.5e-07
10;5.4e-07
10;5.5e-07
10;6.1e-07
10;5.1e-07
10;5.2e-07
10;6.6e-07
10;5.6e-07
10;5.2e-07
10;5.2e-07
10;5.2e-07
10;5.5e-07
10;5.2e-07
